name,description,longitude,latitude,country
Wookey Hole,,-2.6466751098632812,51.207098489563286,Somerset
Nippikin Pot,,-2.5113,54.21557,Lancashire
Peterson Pot,,-2.51209,54.21408,Lancashire
Pool Sink,,-2.49657,54.22128,Westmorland and Furness
Slit Sinks,,-2.49752,54.22088,Westmorland and Furness
Swindon Hole,,-2.49885,54.22007,Lancashire
Sylvester Pot,,-2.502,54.21993,Westmorland and Furness
Top Sink,,-2.49161,54.2246,Westmorland and Furness
Wretched Rabbit,,-2.49786,54.22067,Westmorland and Furness
The Crumbles,,-2.51357,54.21756,Lancashire
Hidden Pot,,-2.51953,54.22592,Westmorland and Furness
Gale Garth Pot,,-2.52043,54.22295,Westmorland and Furness
Howgill Sink,,-2.50437,54.2186,Lancashire
Witches Cave,,-2.5216,54.21451,Westmorland and Furness
Barbon Pot,,-2.51299,54.2491,Westmorland and Furness
Crystal Cave,,-2.51389,54.25165,Westmorland and Furness
Dog Hole,,-2.51249,54.25103,Westmorland and Furness
Short Gill Cave,,-2.50832,54.25735,Westmorland and Furness
The Churns,,-2.51395,54.23798,Westmorland and Furness
Ibbeth Peril Cave 1,,-2.39899,54.27308,Westmorland and Furness
Broadfield Cave,,-2.40056,54.27265,Westmorland and Furness
Robins Dub Cave,,-2.42512,54.24925,Westmorland and Furness
Tub Hole,,-2.41267,54.27009,Westmorland and Furness
Upper Hackergill Cave,,-2.39993,54.27063,Westmorland and Furness
Flinter Gill Lower Cave,,-2.46135,54.271,Westmorland and Furness
Hughs Moss Cave,,-2.32681,54.30615,Westmorland and Furness
Blea Gill Cave,,-2.47384,54.26194,Westmorland and Furness
Nettle Pot,,-2.47271,54.28055,Westmorland and Furness
The Angels Drainpipe,,-2.35092,54.46192,Westmorland and Furness
Devils Grinding Mill,,-2.35093,54.46372,Westmorland and Furness
Smeltmill Beck Cave,,-2.23405,54.52691,Westmorland and Furness
Knock Fell Caverns,,-2.4349,54.67104,Westmorland and Furness
Pate Hole,,-2.49798,54.50364,Westmorland and Furness
The Swilly Hole,,-2.96952,54.72186,Cumbria
Three Js ,,-1.83813,53.2422,Derbyshire
Aldery Cliff Caves,,-1.86974,53.1973,Derbyshire
Alport Tufa Caves,,-1.6708,53.17804,Derbyshire
Alsops Cave,,-1.82669,53.33078,Derbyshire
Anthony Hill Shakeholes,,-1.93106,53.22971,Derbyshire
April Cave,,-1.87857,53.25124,Derbyshire
Ashwood Dale Cave,,-1.89804,53.25395,Derbyshire
Ashwood Dale Resurgence,,-1.8675,53.24703,Derbyshire
Axe Hole,,-1.93554,53.2387,Derbyshire
Badgers Rift,,-1.74174,53.32383,Derbyshire
Bagshawe Cavern,,-1.74379,53.32462,Derbyshire
Bagshawe Resurgence,,-1.74016,53.3255,Derbyshire
Bagshot Row ,,-1.68497,53.27902,Derbyshire
Bamforth Hole,,-1.67079,53.27876,Derbyshire
Bat H0Use Cave,,-1.50151,53.06688,Derbyshire
Batham Pot,,-1.7727,53.3238,Derbyshire
Beech Tree Hole,,-1.67452,53.27962,Derbyshire
Beresford Dale Level,,-1.78194,53.09559,Derbyshire
Berton Pingles Pipe,,-1.74366,53.32136,Derbyshire
Black Rabbit Cave,,-1.76469,53.33639,Derbyshire
Blue John Shaft,,-1.80347,53.34523,Derbyshire
Bonsall Moor Swallet,,-1.62039,53.12575,Derbyshire
Borehole Swallet,,-1.92804,53.24049,Derbyshire
Bossen Hole,,-1.85182,53.18379,Derbyshire
Bossen Hole,,-1.66655,53.27811,Derbyshire
Boulder Pot,,-1.75579,53.19531,Derbyshire
Bradwell Cave,,-1.74024,53.32293,Derbyshire
Bradwell Parish Cave,,-1.74303,53.32186,Derbyshire
Brightgate Cave,,-1.60535,53.13559,Derbyshire
Bunkers Hill Wood Cave,,-1.57615,53.21729,Derbyshire
Butress Hole,,-1.79822,53.34078,Derbyshire
Can Holes 2,,-1.94153,53.2432,Derbyshire
Carder Low Fissure,,-1.81152,53.16126,Derbyshire
Carlswark Eyam Dale Shaft,,-1.67387,53.28017,Derbyshire
Castle Cave,,-1.77899,53.05855,Staffordshire
Cales Dale Badger Holes,,-1.7441,53.18001,Derbyshire
Cave Dale Cave 2B,,-1.77718,53.33979,Derbyshire
Cavedale Cave No.4,,-1.77793,53.33866,Derbyshire
Gorge Top Cave,,-1.77814,53.33982,Derbyshire
Dow cave,,-2.02638,54.16454,North Yorkshire
Fossil Pot,,-1.97445,54.09851,North Yorkshire
Langcliffe Pot,,-2.00795,54.13552,North Yorkshire
Oddmire Pot,,-2.011,54.13811,North Yorkshire
Providence Pot,,-2.01354,54.15182,North Yorkshire
Birks Fell Cave,,-2.10727,54.18862,North Yorkshire
Rowantree Cave,,-2.09571,54.1757,North Yorkshire
Bracken Cave,,-2.12949,54.19993,North Yorkshire
Hagg Gill Pot,,-2.16434,54.20937,North Yorkshire
Langstroth Cave,,-2.15156,54.20644,North Yorkshire
Langstroth Cave (Middle entrance of),,-2.15082,54.2057,North Yorkshire
Langstroth Pot,,-2.16068,54.20576,North Yorkshire
Pasture Gill Pot,,-2.14645,54.21,North Yorkshire
Strans Gill Pot,,-2.12895,54.20537,North Yorkshire
Yockenthwaite Pot,,-2.15322,54.21208,North Yorkshire
Dowkabottom Cave,,-2.07541,54.11594,North Yorkshire
Sleets Gill Cave,,-2.06359,54.11923,North Yorkshire
Cherry Tree Hole,,-2.18263,54.12877,North Yorkshire
