"name","description","longitude","latitude","address"
"Wookey Hole",,"-2.6466751098632812","51.207098489563286","Mill Street, Wells, England, BA5 2AT, United Kingdom"
"Nippikin Pot",,"-2.5113","54.21557","Link Pot, Fell Road, Casterton, Carnforth, England, LA6 2JP, United Kingdom"
"Peterson Pot",,"-2.51209","54.21408","Mistral Hole, Fell Road, Casterton, Carnforth, England, LA6 2JP, United Kingdom"
"Pool Sink",,"-2.49657","54.22128","Pool Sink, Leck Fell Lane, Lancaster, England, LA6 2JF, United Kingdom"
"Slit Sinks",,"-2.49752","54.22088","Wretched Rabbit, Leck Fell Lane, Lancaster, England, LA6 2JF, United Kingdom"
"Swindon Hole",,"-2.49885","54.22007","County Pot, Leck Fell Lane, Lancaster, England, LA6 2JF, United Kingdom"
"Sylvester Pot",,"-2.502","54.21993","County Pot, Leck Fell Lane, Lancaster, England, LA6 2JF, United Kingdom"
"Top Sink",,"-2.49161","54.2246","Ease Gill, LA6 2JE, United Kingdom"
"Wretched Rabbit",,"-2.49786","54.22067","Wretched Rabbit, Leck Fell Lane, Lancaster, England, LA6 2JF, United Kingdom"
"The Crumbles",,"-2.51357","54.21756","Mistral Hole, Fell Road, Casterton, Carnforth, England, LA6 2JP, United Kingdom"
"Hidden Pot",,"-2.51953","54.22592","Hidden Pot, Fell Road, Casterton, Carnforth, England, LA6 2JP, United Kingdom"
"Gale Garth Pot",,"-2.52043","54.22295","Cow Pot, Fell Road, Casterton, Carnforth, England, LA6 2JP, United Kingdom"
"Howgill Sink",,"-2.50437","54.2186","County Pot, Leck Fell Lane, Lancaster, England, LA6 2JF, United Kingdom"
"Witches Cave",,"-2.5216","54.21451","Shuttleworth Pot, Fell Road, Casterton, Carnforth, England, LA6 2JP, United Kingdom"
"Barbon Pot",,"-2.51299","54.2491","Barbon Pot, Barbondale Road, England, LA6 2LQ, United Kingdom"
"Crystal Cave",,"-2.51389","54.25165","Barbon Pot, Barbondale Road, England, LA6 2LQ, United Kingdom"
"Dog Hole",,"-2.51249","54.25103","Barbon Pot, Barbondale Road, England, LA6 2LQ, United Kingdom"
"Short Gill Cave",,"-2.50832","54.25735","Barbondale Road, England, LA6 2LQ, United Kingdom"
"The Churns",,"-2.51395","54.23798","Hazel Sike, United Kingdom"
"Ibbeth Peril Cave 1",,"-2.39899","54.27308","Ibbeth Peril 1, Nelly Bridge, England, LA10 5RQ, United Kingdom"
"Broadfield Cave",,"-2.40056","54.27265","Ibbeth Peril, United Kingdom"
"Robins Dub Cave",,"-2.42512","54.24925","Deepdale, United Kingdom"
"Tub Hole",,"-2.41267","54.27009","Basil Busk, England, United Kingdom"
"Upper Hackergill Cave",,"-2.39993","54.27063","Ibbeth Peril, United Kingdom"
"Flinter Gill Lower Cave",,"-2.46135","54.271","Flinter Gill, LA10 5QS, United Kingdom"
"Hughs Moss Cave",,"-2.32681","54.30615","Cote Gill, LA10 5PP, United Kingdom"
"Blea Gill Cave",,"-2.47384","54.26194","High Lathe Gill, LA10 5QB, United Kingdom"
"Nettle Pot",,"-2.47271","54.28055","Gawthrop, England, LA10 5TA, United Kingdom"
"The Angels Drainpipe",,"-2.35092","54.46192","Devil's Grinding Mill, Stenkrith Bridge, Kirkby Stephen, England, CA17 4TH, United Kingdom"
"Devils Grinding Mill",,"-2.35093","54.46372","Stenkrith Hill, CA17 4TH, United Kingdom"
"Smeltmill Beck Cave",,"-2.23405","54.52691","Johnson's Plain, England, CA17 4EX, United Kingdom"
"Knock Fell Caverns",,"-2.4349","54.67104","Knock Fell, United Kingdom"
"Pate Hole",,"-2.49798","54.50364","Great Kettle, Great Asby, England, CA16 6HB, United Kingdom"
"The Swilly Hole",,"-2.96952","54.72186","Well House, England, CA7 8HT, United Kingdom"
"Three Js ",,"-1.83813","53.2422","Topleyhead Farm, Derbyshire Dales, England, United Kingdom"
"Aldery Cliff Caves",,"-1.86974","53.1973","Hitter Hill, SK17 0RN, United Kingdom"
"Alport Tufa Caves",,"-1.6708","53.17804","Alport Lane, Derbyshire Dales, England, DE45 1LG, United Kingdom"
"Alsops Cave",,"-1.82669","53.33078","Eldon Hill Quarry, United Kingdom"
"Anthony Hill Shakeholes",,"-1.93106","53.22971","Cromford and High Peak Railway, High Peak, England, SK17 0SD, United Kingdom"
"April Cave",,"-1.87857","53.25124","Chinley North Junction and Buxton Branch, Redgap Lane, High Peak, England, SK17 7JF, United Kingdom"
"Ashwood Dale Cave",,"-1.89804","53.25395","Darley Grove, High Peak, England, SK17 7SY, United Kingdom"
